State,Healthcare,Education,Economy,Opportunity,Infrastructure,Crime,FiscalStability,QualityofLife
Alabama,46,47,38,48,32,43,25,35
Alaska,28,40,50,5,42,50,47,19
Arizona,24,43,16,45,12,38,34,39
Arkansas,49,42,40,41,46,47,20,7
California,11,26,4,46,38,28,43,50
Colorado,9,20,1,28,14,29,31,10
Connecticut,4,14,43,29,41,8,41,38
Delaware,25,32,10,7,18,46,15,24
Florida,34,7,5,36,11,31,3,33
Georgia,42,31,14,33,17,35,13,32
Hawaii,1,29,23,18,27,17,35,36
Idaho,18,30,7,42,10,6,7,20
Illinois,27,24,39,22,13,24,50,47
Indiana,40,35,25,11,30,30,8,48
Iowa,3,5,17,4,1,15,21,9
Kansas,30,21,42,12,16,37,39,16
Kentucky,45,34,45,30,22,9,46,27
Louisiana,47,49,44,50,44,48,48,42
Maine,22,19,37,26,43,1,29,12
Maryland,16,11,24,2,25,26,23,31
Massachusetts,5,1,9,14,45,5,40,25
Michigan,32,36,22,20,40,32,32,29
Minnesota,7,13,20,3,6,11,24,2
Mississippi,50,46,48,49,49,16,45,6
Missouri,39,25,33,21,20,45,10,15
Montana,26,22,26,37,34,36,12,13
Nebraska,19,9,21,13,9,19,11,14
Nevada,35,44,12,19,5,44,38,43
New Hampshire,13,4,11,1,37,2,26,4
New Jersey,12,2,41,10,28,3,49,49
New Mexico,31,50,46,44,47,49,44,8
New York,15,23,35,43,19,10,28,37
North Carolina,37,16,18,40,24,21,6,34
North Dakota,14,10,19,17,2,23,2,1
Ohio,36,41,32,25,23,18,37,40
Oklahoma,48,39,36,38,31,34,22,17
Oregon,20,33,6,32,3,20,30,18
Pennsylvania,23,38,34,16,29,25,42,44
Rhode Island,8,27,29,34,48,13,33,23
South Carolina,41,48,15,39,33,42,18,30
South Dakota,21,17,28,24,7,40,4,5
Tennessee,43,28,13,31,15,41,5,28
Texas,38,37,8,47,21,27,17,46
Utah,10,3,2,35,8,14,1,22
Vermont,6,8,31,6,35,7,16,26
Virginia,29,12,30,9,39,4,14,41
Washington,2,6,3,27,4,39,27,21
West Virginia,44,45,49,23,50,33,36,45
Wisconsin,17,18,27,8,26,22,19,3
Wyoming,33,15,47,15,36,12,9,11
