Month,month-on-month
2017-01,0.009
2017-02,0.002
2017-03,0.002
2017-04,0.004
2017-05,0.001
2017-06,-0.001
2017-07,0
2017-08,0.001
2017-09,0.002
2017-10,0.001
2017-11,0.003
2017-12,-0.004
2018-01,0.007
2018-02,0.006
2018-03,0.003
2018-04,0.003
2018-05,0.001
2018-06,0.001
2018-07,0.005
2018-08,-0.001
2018-09,-0.004
2018-10,0.003
2018-11,-0.004
2018-12,-0.001
2019-01,0.001
2019-02,0.007
2019-03,0.007
2019-04,0.004
2019-05,0.004
2019-06,-0.002
2019-07,0.005
2019-08,-0.001
2019-09,-0.004
2019-10,0.003
2019-11,-0.001
2019-12,0
