"cluster","V1","series","movie","Comedy","Adventure","Drama","Fantasy","Crime","Action","Horror","Thriller","Musical","Animation","Short","Documentary","Biography","Romance","Sci.Fi","Adult","Family","Music","Reality.TV","Mystery","News","Sport","Game.Show","Talk.Show","History","War","Film.Noir","Western","V32","V33","becom","fight","life","investig","mysteri","begin","famili","one","two","—","join","war","world","save","turn","must","discov","love","help","come","day","face","forc","man","team","journey","make","dream","home","friend","live","follow","mother","stori","young","find","work","get","plan","four","women","crime","new","back","woman","polic","base","citi","girl","search","true","daughter","event","danger","fall","take","murder","can","set","father","best","show","documentari","explor","first","past","time","togeth","navig","learn","group","dark","power","relationship","struggl","comedi","film","death","secret","special","meet","seri","son","way","school","lead","adventur","coupl","return","high","tri","star","teen","student","three","V129","V130","V131"
1,0.2477,0,1,0.2277,0.0231,0.4473,0.0171,0.1244,0.0622,0.0171,0.0532,0.012,0.0401,0.0853,0.3711,0.1304,0.0722,0.006,0,0.0381,0.0552,0.005,0.0461,0.001,0.0542,0,0.002,0.0652,0.0231,0.004,0.003,0.6312,-0.1403,0.0371,0.0221,0.1294,0.0251,0.0191,0.0211,0.0762,0.0331,0.0411,0.0873,0.0181,0.0251,0.0532,0.0231,0.0401,0.0371,0.0181,0.0522,0.0311,0.0251,0.0171,0.0281,0.0221,0.0502,0.0171,0.0341,0.0311,0.0341,0.0321,0.0502,0.0431,0.0381,0.0281,0.0682,0.0662,0.0612,0.0211,0.0542,0.0191,0.015,0.0251,0.0261,0.0592,0.0201,0.0391,0.012,0.0281,0.0231,0.016,0.0211,0.0351,0.0281,0.0241,0.012,0.0321,0.0562,0.0371,0.0171,0.0502,0.0421,0.014,0.0301,0.1234,0.0271,0.0241,0.0231,0.0211,0.008,0.0191,0.0221,0.0261,0.013,0.0271,0.0251,0.0291,0.0301,0.0421,0.0201,0.0171,0.0481,0.0201,0.013,0.0221,0.0191,0.0351,0.0181,0.009,0.014,0.0211,0.0191,0.0301,0.0291,0.0341,0.0221,0.0341,2019.5547,7.2617,15165.4082
2,0.2441,0,1,0.4868,0.0158,0.5605,0.0465,0.1842,0.1579,0.0693,0.1421,0.007,0.0079,0.0149,0.0447,0.0219,0.2026,0.0211,9e-04,0.0474,0.0193,0.0026,0.0816,0,0.0228,0,0,0.0088,0.007,0,0.0044,-0.4758,-0.1754,0.0518,0.0307,0.1096,0.0193,0.0404,0.0254,0.1035,0.0447,0.0763,0.1316,0.0132,0.0105,0.0342,0.0211,0.0491,0.0658,0.0272,0.1044,0.0474,0.0316,0.0254,0.0421,0.0377,0.086,0.0202,0.0289,0.0395,0.0272,0.0439,0.0737,0.0509,0.0184,0.0395,0.0395,0.1123,0.1035,0.0307,0.0649,0.0228,0.0228,0.0219,0.0228,0.0833,0.0298,0.0684,0.0184,0.0211,0.0202,0.0263,0.0211,0.0289,0.0342,0.0193,0.0237,0.0412,0.0623,0.0439,0.0211,0.0281,0.0526,0.0263,0.0105,0.0175,0.0088,0.0228,0.036,0.0246,0.0228,0.0105,0.0298,0.0342,0.0237,0.0228,0.0325,0.0377,0.0254,0.0096,0.0254,0.0386,0.0368,0.0281,0.0096,0.043,0.0307,0.0325,0.0325,0.0114,0.0307,0.0316,0.0272,0.0395,0.0193,0.0333,0.0272,0.0289,2019.5307,5.9814,11504.3351
3,0.2835,0.2355,0.7645,0.407,0.0764,0.3099,0.0496,0.0909,0.188,0.2025,0.1839,0.0124,0.0537,0.0207,0.0455,0.0062,0.1529,0.0351,0.0062,0.093,0.0165,0.0475,0.0764,0,0.0124,0.0103,0.0021,0.0062,0,0,0,-2.0252,-0.2319,0.0496,0.031,0.095,0.0207,0.0434,0.0186,0.1033,0.0517,0.0847,0.124,0.0372,0.0103,0.0434,0.0393,0.0475,0.0661,0.0331,0.0868,0.0579,0.0289,0.0207,0.0331,0.0537,0.0661,0.0351,0.0083,0.0124,0.031,0.031,0.0806,0.0806,0.0248,0.0413,0.0248,0.0971,0.0682,0.0248,0.0723,0.0248,0.0331,0.0186,0.0207,0.0785,0.0372,0.0661,0.0331,0.0207,0.0165,0.0248,0.0145,0.0186,0.0372,0.0227,0.0269,0.0331,0.0599,0.0289,0.0269,0.0269,0.0331,0.0331,0.0331,0.0103,0.0145,0.0186,0.0331,0.0207,0.0351,0.0269,0.031,0.0372,0.0227,0.0351,0.0351,0.0248,0.031,0.0248,0.0103,0.0496,0.0186,0.0372,0.0413,0.0207,0.0289,0.0289,0.031,0.0331,0.0331,0.0227,0.0165,0.0496,0.0124,0.0393,0.0269,0.031,2019.7872,4.1895,5629.6467
4,0.0895,0.9836,0.0164,0.341,0.7672,0.0656,0.0361,0.0197,0.6131,0,0,0,0.9016,0.0066,0.0033,0,0,0.023,0,0.0918,0,0,0,0,0.0033,0,0,0.0033,0,0,0,0.3293,-0.1988,0.0492,0.0721,0.0426,0.0033,0.0623,0.0098,0.0525,0.0164,0.0525,0.1508,0.0721,0.0262,0.2131,0.1115,0.0164,0.0721,0.0393,0.0164,0.0787,0.0262,0.0393,0.0164,0.0656,0.0164,0.0656,0.0295,0.0393,0.0328,0.0393,0.1803,0.0623,0.0262,0.0033,0.023,0.0623,0.0984,0.0393,0.023,0.0131,0.0295,0.0033,0.0131,0.1311,0.0361,0.0098,0.0098,0.0197,0.0754,0.0393,0.0131,0.0295,0,0.0033,0.023,0.0033,0.0656,0.0098,0.0262,0.0295,0.0295,0.0361,0.0131,0,0.0295,0.0066,0.0098,0.0361,0.0262,0.0098,0.059,0.0361,0.0295,0.1213,0,0.0066,0.0131,0.0066,0.0131,0.0328,0.023,0.0197,0.0623,0.0098,0.0295,0.0197,0.0361,0.1607,0,0.0098,0.0098,0.0361,0.0066,0.0492,0.0033,0.023,2018.5246,6.9125,9073.4787
5,-1.5386,0.1953,0.8047,0.3906,0.1354,0.5729,0.0365,0.1797,0.2995,0.0391,0.1302,0.0208,0.0911,0.0078,0.0339,0.0495,0.1823,0.0365,0,0.0677,0.0182,0.0078,0.0781,0,0.0182,0.0026,0,0.0208,0.013,0,0,0.3784,0.5076,0.0443,0.013,0.0807,0.013,0.0234,0.026,0.0938,0.0443,0.0755,0.0391,0.013,0.0339,0.0469,0.0234,0.0339,0.0547,0.026,0.0729,0.0469,0.0339,0.0208,0.0208,0.0234,0.0807,0.0417,0.0156,0.0417,0.0156,0.0286,0.0625,0.0573,0.0365,0.0182,0.0339,0.099,0.0911,0.0286,0.0677,0.0391,0.0208,0.0182,0.0234,0.0599,0.0208,0.0495,0.0156,0.013,0.0208,0.0339,0.013,0.0208,0.0104,0.013,0.0104,0.0417,0.0521,0.026,0.0339,0.0312,0.0286,0.0234,0.013,0.0156,0.0026,0.0208,0.0208,0.0156,0.0443,0.0208,0.0443,0.0339,0.013,0.0391,0.0156,0.0234,0.0234,0.0365,0.0182,0.0156,0.0052,0.0365,0.0417,0.0469,0.0339,0.0365,0.013,0.0208,0.0208,0.0365,0.0286,0.0391,0.0365,0.0208,0.0234,0.0417,2007.9271,6.9693,82612.8021
6,0.1804,0,1,0.3879,0.8405,0.1034,0.0862,0.069,0.5388,0.0172,0.0517,0.0043,0.5603,0.0172,0,0.0043,0.0043,0.0517,0,0.1207,0,0,0.0043,0,0,0.0043,0,0.0043,0.0043,0,0,-0.3673,0.1084,0.0474,0.0216,0.0474,0.0172,0.0388,0.0086,0.0474,0.0431,0.0517,0.1509,0.056,0.0388,0.0603,0.1595,0.0216,0.1164,0.0259,0.0517,0.1034,0.0172,0.0259,0.0302,0.0431,0.0129,0.0733,0.0388,0.0474,0.0129,0.0733,0.1466,0.0043,0.0086,0.0302,0.0086,0.0991,0.1595,0.0172,0.0733,0.0345,0.0302,0,0.0043,0.1293,0.056,0.0086,0.0129,0.0129,0.0431,0.0302,0.0431,0.0259,0.0086,0.0129,0.0603,0.0172,0.0819,0.0172,0.0431,0.0431,0.0172,0.0345,0.0302,0.0043,0.0086,0.0259,0.0172,0.0388,0.0172,0.0043,0.0302,0.0172,0.0043,0.0603,0,0.0043,0.0043,0.0129,0.0474,0.0172,0.0388,0.0216,0.0172,0.0172,0.0474,0.0259,0.0388,0.0819,0.0086,0.0259,0.0172,0.0216,0.0431,0.0474,0.0086,0.0259,2019.1164,6.1069,41052.6293
7,0.1999,1,0,0.2799,0.0281,0.5468,0.0679,0.2026,0.0679,0.0258,0.0691,0.0082,0.0445,0.0281,0.2237,0.0632,0.1241,0.0222,0,0.0422,0.0422,0.0609,0.0726,0.0012,0.0351,0.0141,0.0094,0.0691,0.0105,0.0012,0.0035,1.0097,-0.0906,0.0457,0.0269,0.1148,0.0375,0.0433,0.0187,0.0714,0.0562,0.0621,0.1089,0.0187,0.0234,0.1042,0.0117,0.0293,0.0234,0.0234,0.096,0.0363,0.0316,0.0164,0.0316,0.0211,0.034,0.0386,0.0258,0.0351,0.0258,0.0222,0.089,0.0714,0.041,0.0129,0.0492,0.0457,0.0761,0.0328,0.0445,0.0117,0.0293,0.0269,0.0258,0.0878,0.0258,0.0468,0.0258,0.0375,0.0293,0.0211,0.0187,0.0422,0.0129,0.0328,0.0164,0.0222,0.0398,0.0539,0.0211,0.0258,0.0117,0.0375,0.0246,0.0246,0.0386,0.0222,0.0246,0.0304,0.0304,0.0375,0.0211,0.0363,0.0234,0.0304,0.0164,0.0258,0.0234,0.0129,0.0258,0.0281,0.0141,0.0211,0.0843,0.0129,0.0316,0.055,0.0234,0.0164,0.0117,0.0199,0.0386,0.0375,0.0246,0.0351,0.0328,0.0246,2019.2436,7.6994,20338.2424
8,0.3899,1,0,0.2401,0.0367,0.4562,0.048,0.1864,0.0621,0.0664,0.1017,0.0085,0.024,0.0297,0.1455,0.0226,0.0975,0.0367,0.0014,0.0664,0.024,0.1596,0.1031,0.0014,0.0353,0.048,0.0071,0.0268,0.0014,0,0.0028,-0.3002,-0.2199,0.0494,0.0268,0.096,0.041,0.0494,0.0212,0.1243,0.0593,0.0565,0.1342,0.0325,0.0113,0.0833,0.0184,0.0325,0.0494,0.0297,0.0763,0.0353,0.0198,0.0141,0.0155,0.0212,0.0325,0.0395,0.0169,0.0579,0.0226,0.0551,0.0537,0.072,0.0353,0.0226,0.0339,0.0664,0.0692,0.0353,0.0706,0.0141,0.0254,0.024,0.0282,0.0763,0.0169,0.0367,0.024,0.0155,0.0113,0.0169,0.0254,0.0282,0.0282,0.024,0.0226,0.0268,0.0424,0.0508,0.0226,0.0297,0.0099,0.0268,0.041,0.0085,0.0311,0.0169,0.0339,0.0212,0.0212,0.0254,0.0226,0.0381,0.0297,0.0311,0.0212,0.0169,0.0212,0.0099,0.0212,0.0763,0.0155,0.0325,0.1186,0.0127,0.041,0.048,0.0353,0.0212,0.0311,0.0184,0.0297,0.0325,0.0282,0.0438,0.0254,0.0381,2020.4802,6.1845,6873.3927
9,-0.8184,0.3205,0.6795,0.1795,0.2949,0.5897,0.141,0.2821,0.359,0.1154,0.1026,0,0.0256,0,0,0.1154,0.0128,0.1282,0,0.0256,0.0256,0,0.1538,0,0,0,0,0.0256,0.0256,0,0,1.1033,6.5442,0.0641,0.0513,0.1026,0.0513,0.1026,0.0128,0.0385,0.0256,0.0641,0.0513,0.0128,0.0641,0.1026,0.0513,0,0.0385,0.0256,0.0385,0.0256,0.0256,0.0256,0.0641,0.0385,0.0897,0.0256,0.0385,0.0385,0.0128,0.0256,0.0769,0.0128,0.0128,0,0.0128,0.0513,0.0513,0.0256,0.0256,0.0385,0.0256,0,0.0385,0.0385,0.0385,0.0385,0.0256,0.0256,0.0256,0.0513,0.0128,0.0256,0.0256,0.0256,0.0513,0,0.0256,0,0,0.0513,0.0128,0.0128,0,0,0.0128,0,0,0.0128,0.0385,0,0.0385,0.0256,0,0.0513,0,0.0385,0.0128,0.0128,0.0385,0.0641,0,0.0385,0.0641,0.0128,0.0256,0.0385,0.0385,0.0385,0,0.0128,0.0513,0.0385,0.0385,0.0256,0.0385,0.0641,2012.6154,7.8077,711120.5769
10,-4.8944,0.1028,0.8972,0.3458,0.1589,0.5701,0.0561,0.1776,0.3364,0.0374,0.1121,0.0841,0.0748,0,0.0467,0.0467,0.1589,0,0,0.1121,0.028,0,0.0654,0,0.0187,0,0,0.0187,0.0187,0,0,-0.0282,0.1424,0.0748,0.0561,0.0467,0.0187,0.028,0.0187,0.0748,0.0467,0.0748,0.0187,0.0561,0.0467,0.0093,0.0093,0.0187,0.0561,0.0187,0.1028,0.0561,0.0187,0.0093,0.028,0.0467,0.0654,0.028,0,0.0374,0.0187,0.0093,0.0467,0.0187,0.0374,0.028,0.0374,0.0467,0.0561,0.0093,0.0561,0,0.0187,0.0187,0.028,0.1121,0.0374,0.0748,0.0654,0.028,0.0093,0.0093,0.0187,0.0187,0.0093,0.0187,0.0093,0.0748,0.1028,0.0374,0.0093,0.0467,0.0841,0.0093,0.0093,0.0187,0,0.0187,0.0374,0.0467,0.0093,0,0.028,0.0374,0.0093,0.0374,0,0.0093,0.0374,0.0467,0.0187,0.028,0,0.0561,0.0654,0.0093,0.028,0.0561,0.0187,0.028,0.0187,0.0374,0.028,0.028,0.0093,0.028,0.0093,0,1986.0841,6.4991,44597.7757
